ticker,fiscal_year,altman_z,net_debt_ebitda,current_ratio,sloan_accruals,ccr,ev_ebitda,fcf_yield,fcf,ebitda,net_debt,market_cap,sic
PRAA,2025.0,,4.862338750989615,,-0.04303099040193819,3.9836538909327994,-26.672954569452273,-0.133443134800165,-90362000.0,-21473000.0,-104409000.0,677157353.4698486,6153.0
PRDO,2025.0,,-0.466992387228724,5.056804081069902,-0.05235642377237787,0.9478720852428386,9.495282585043903,0.09152346355049532,216664000.0,237627000.0,-110970000.0,2367305514.8362274,8200.0
PRG,2025.0,,1.2395182080110916,,-0.11684864953477628,1.4512770520569311,6.371537654315657,0.27431081999673024,324920000.0,230805000.0,286087000.0,1184495748.304325,7359.0
PRGO,2025.0,-0.5045152887091866,,2.7617731266660086,-0.1949456368919299,-0.3039378106282656,,0.11242066109679795,145100000.0,-784700000.0,,1290688015.7470703,2834.0
PRGS,2025.0,,8.185729512822121,0.4939461600970195,-0.0659383852431868,1.4746190983760736,15.928737677785175,0.18582798958100957,229485000.0,159490000.0,1305542000.0,1234932372.2299576,7372.0
PRIM,2025.0,2.979479239108465,-0.13031386571315057,1.2624289964836355,-0.044353192068605655,0.9344457687723481,14.964514799493267,0.044810079780312345,340500000.0,503400000.0,-65600000.0,7598736750.064911,1623.0
PRK,2025.0,,-0.6528472452187526,,-0.0018609868237808558,0.8529048739264503,10.461347363091312,0.0742741027725193,191947000.0,232523000.0,-151802000.0,2584305872.908081,6021.0
PRKS,2025.0,1.1805922851477186,3.92277601822526,0.7350415354064648,-0.08092883237764852,0.7039784408512529,7.082376792428367,0.09531390752860601,162596000.0,539910000.0,2117946000.0,1705900054.0,7990.0
PRLB,2025.0,10.640586906124739,-1.8808295431403164,3.4855825199247783,-0.06976939148431718,1.2644083904690788,21.42019392507355,0.04345408300844918,59662000.0,58924000.0,-110826000.0,1372989506.841034,3440.0
PRSU,2025.0,2.476202195951733,0.674108953496424,0.8079197867749714,,,10.742930133583616,,,101089000.0,68145000.0,1017847064.2738342,7990.0
PRVA,2025.0,2.8223820980128593,-10.866861492456165,1.6024080067543798,-0.10259037314751661,3.7017806170993612,45.64032851708402,0.06550990442940773,163404000.0,44142000.0,-479685000.0,2494340381.401123,8000.0
PSMT,2025.0,4.123715581880917,-0.13141506403759617,1.341730566138535,-0.05285365218876424,0.8148756825531464,13.908245837636684,0.02291657730536413,103173000.0,320671000.0,-42141000.0,4502112101.000793,5331.0
PTCT,2025.0,1.1662859613401237,-1.0871079216119237,2.3480840579620352,-0.00984970506425663,0.785201214463152,4.939701376759592,0.1286616561787255,702336000.0,905750000.0,-984648000.0,5458782522.0,2834.0
PTEN,2025.0,1.2333338988075813,-19.811241734019102,1.6419893891218815,-0.18936548576007825,-23.541978937056086,-124.41414696975893,0.08714481928613596,372190000.0,-40830000.0,808893000.0,4270936620.775257,1381.0
PTGX,2025.0,13.696067880408851,0.8185684138045356,12.710415703879756,-0.28108855591540105,-0.3676895318367581,-39.944618780763726,0.008771450146964323,56081000.0,-156847000.0,-128390000.0,6393583621.906448,2834.0
PZZA,2025.0,0.4214052142097299,3.791049219370204,0.8159427611163231,-0.1139917469445068,0.6946282085207727,9.693139609136393,0.05726271179531759,61305000.0,181392000.0,687666000.0,1070591979.9804688,5812.0
QDEL,2025.0,-0.7819471773915098,-5.670997485331098,1.498085084359797,-0.21441076040420848,-0.22045264040234702,-7.890695779341565,-0.07835806613268521,-83000000.0,-477200000.0,2706200000.0,1059240025.9017944,2835.0
QNST,2024.0,0.5526141282631014,12.29016553067186,1.3377347742844032,-0.1229132451278941,-2.9306231742940603,-151.24034256200247,0.009960056656128818,6691000.0,-4108000.0,-50488000.0,671783327.2447062,7389.0
QRVO,2025.0,2.988178486968865,2.040738321693997,2.767268655306174,-0.09074273172639526,2.4046547039795323,30.988797084100295,0.06469743703757853,484602000.0,258749000.0,528039000.0,7490281256.713867,3674.0
QTWO,2025.0,-0.0832440678669415,-3.9394241381896893,1.0219947250889108,-0.11710075477345436,2.158795983754996,27.32989150021233,0.06670507532616626,194651000.0,93321000.0,-367631000.0,2918083804.6913147,7372.0
RAMP,2025.0,,-18.280084914422183,2.6510758813500432,,,56.19415945482467,,,22611000.0,-413331000.0,1683937139.4330406,7374.0
RAL,2025.0,-2.817176119459509,-0.7775175644028103,0.8416831939294646,-0.423932384341637,-0.37245901639344264,-5.116599370523136,0.07737528811843807,358400000.0,-1067500000.0,830000000.0,4631969828.033447,3823.0
RCUS,2025.0,,0.3271276595744681,4.359307359307359,0.11325724319578578,1.2819148936170213,-6.740991716181978,-0.18211832230343855,-484000000.0,-376000000.0,-123000000.0,2657612885.284424,2834.0
RDN,2025.0,,-0.030988682372558123,,0.05697554551938301,0.1495978672737348,5.568339926589455,0.02671710801796768,119862000.0,801228000.0,-24829000.0,4486338862.701416,6351.0
RDNT,2025.0,1.2278838336124287,1.6258622541670753,1.7590185475225943,-0.08446632396477058,1.395579093868363,22.1683537791268,0.06793621368531143,298820000.0,214119000.0,348128000.0,4398537742.832851,8071.0
RES,2025.0,7.95878371178441,-0.9225397596212214,3.244133141762452,-0.11526336757730432,0.9776909068835741,6.84312555177856,0.033095192912489343,52924000.0,205925000.0,-189974000.0,1599144629.25,1389.0
REYN,2025.0,2.6627798141971994,2.725378787878788,1.9341421143847486,-0.03565640194489465,0.9034090909090909,11.061702773065278,0.07179241708315874,316000000.0,528000000.0,1439000000.0,4401579064.178467,2673.0
REX,2025.0,,-1.8038309175635805,8.63983109648514,,0.59000542284396,5.162737079246917,-0.00940160571937272,-7126000.0,108799000.0,-196255000.0,757955631.4849854,2860.0
REZI,2025.0,1.5714339349100492,3.2044887780548628,1.9133903133903134,0.07233487489624096,-1.4177057356608478,9.632792817684184,-0.24304141963717127,-1253000000.0,802000000.0,2570000000.0,5155499839.782715,5072.0
RHI,2025.0,2.9918700573031987,-3.671655124434747,1.530525689307233,-0.06546111090104738,2.529527559055118,16.389848978534957,0.1051418350451926,266810000.0,126492000.0,-464435000.0,2537619776.9928436,7363.0
RHP,2025.0,,-0.6161463942533904,,-0.056171124524221336,0.7719510346197681,7.048049698308345,0.03963084111595848,232394000.0,765112000.0,-471421000.0,5863968400.772095,6798.0
RITM,2025.0,,36.762486595320944,,0.03748569204158835,-1.4138391000809751,42.42555517237534,-0.24965954073195665,-1292051000.0,913860000.0,33595766000.0,5175251849.826928,6798.0
RNG,2025.0,-5.854996233591173,1.4483759478251748,0.6278744969835424,-0.3520259231822129,1.7992708812952785,,,587323000.0,343154000.0,497016000.0,,7374.0
RNST,2025.0,,-0.06251646469968387,,-0.0033717454912497,1.1174221219704952,14.015429330292756,0.06951473729807263,237751000.0,242944000.0,-15188000.0,3420152463.218643,6022.0
ROCK,2025.0,,-0.758348623853211,1.7181644819163875,-0.15168523603924502,1.0943709043250327,8.488069311019478,0.08546258781337444,120588000.0,152600000.0,-115724000.0,1411003376.8615723,3310.0
ROG,2025.0,,-21.182795698924732,3.965107057890563,-0.11399398559339814,10.881720430107526,187.99591573079428,0.036548467279813236,71100000.0,9300000.0,-197000000.0,1945362016.2963867,2821.0
RRR,2025.0,0.748060237388364,4.093037270769169,0.7895903431337457,-0.10263419495205175,0.7668450691466876,,,609513000.0,794832000.0,3253277000.0,,7011.0
RUN,2025.0,-0.4675977022205339,,1.655235448344165,0.038538877966772744,4.798415102073347,,-0.1454852397126946,-421440000.0,-87829000.0,,2896788710.884094,3690.0
RUSHA,2025.0,,0.09612294482360784,1.401482484300545,-0.13219617901383088,1.3328801931336114,,,462008000.0,646599000.0,62153000.0,,5500.0
RWT,2025.0,,,,0.42295459192340074,,,-15.131838151165066,-10094521000.0,,-255664000.0,667104742.937181,6798.0
RXO,2025.0,,10.45945945945946,1.26878612716763,-0.04607873054623131,1.3783783783783783,73.46140455916121,-0.0034318974735470472,-8000000.0,37000000.0,387000000.0,2331071968.688965,4700.0
SAFE,2025.0,,41.70335514052849,,0.009194712574705747,0.43688096195314496,50.84955032997359,0.047766415750378356,47814000.0,109444000.0,4564182000.0,1000996186.3136292,6798.0
SABR,2025.0,,9.474224929312557,1.0679539969231302,,,10.979789267214342,,,401415000.0,3803096000.0,604356108.6988449,7370.0
SAFT,2025.0,,-0.180367209254941,,-0.038542629460145,1.4677654267883151,8.027325306815209,0.17652208327724364,191990000.0,132513000.0,-23901000.0,1087625958.3820038,6331.0
